"relative_path","extension","status","bad_present","good_present","bad_size_bytes","good_size_bytes","bad_sha256","good_sha256"
"Assets/sii_qrcode.png","png","same","true","true","172770","172770","b53df21345c18fd95687d27875b08f3a6d52894f3cd132d071bbd5affbf0deac","b53df21345c18fd95687d27875b08f3a6d52894f3cd132d071bbd5affbf0deac"
"ClosedXML.dll","dll","same","true","true","1438720","1438720","3748ea4d031e396c9a6ee9d5a714c04bcab207cff86c0ee2d5d09e985bb7a372","3748ea4d031e396c9a6ee9d5a714c04bcab207cff86c0ee2d5d09e985bb7a372"
"Dapper.dll","dll","same","true","true","229888","229888","39b6c6f2301250d66318bfbfb73253dc32c97ea75ae13367526e0373c0006723","39b6c6f2301250d66318bfbfb73253dc32c97ea75ae13367526e0373c0006723"
"DocumentFormat.OpenXml.dll","dll","same","true","true","6024616","6024616","e386adb5fa9f4dbc7e11d59a42ac8a2415310b05d333ebaf5fb4e7424eeaaab5","e386adb5fa9f4dbc7e11d59a42ac8a2415310b05d333ebaf5fb4e7424eeaaab5"
"ExcelDataReader.DataSet.dll","dll","same","true","true","20992","20992","86f883cfa55591f69b3be015c1d5869578c86a9d772e368b670590c536021caa","86f883cfa55591f69b3be015c1d5869578c86a9d772e368b670590c536021caa"
"ExcelDataReader.dll","dll","same","true","true","203264","203264","100e86dd342089a57ca810214af5e32f988425d6581c7f87825209c83ade525d","100e86dd342089a57ca810214af5e32f988425d6581c7f87825209c83ade525d"
"ExcelNumberFormat.dll","dll","same","true","true","30208","30208","03ccc71a42833102ef54ae9ecf39d9d62c0491c17359aa37d1d2ef0ec7397d04","03ccc71a42833102ef54ae9ecf39d9d62c0491c17359aa37d1d2ef0ec7397d04"
"Irony.dll","dll","same","true","true","144384","144384","553d56d75aa948c238f09c97fa41797ead90f26f6217aeaf0d35f5f3339e4f24","553d56d75aa948c238f09c97fa41797ead90f26f6217aeaf0d35f5f3339e4f24"
"Microsoft.Bcl.AsyncInterfaces.dll","dll","same","true","true","26408","26408","648e618c2a32867ebecbf9b39c6767d782dfdba3988702038bf4a7fdc62c0be9","648e618c2a32867ebecbf9b39c6767d782dfdba3988702038bf4a7fdc62c0be9"
"Microsoft.Data.Sqlite.dll","dll","same","true","true","176160","176160","60cc5b4752a2bb08fbe877e50517ecee76eb162626658e073c9e0d77eeadb417","60cc5b4752a2bb08fbe877e50517ecee76eb162626658e073c9e0d77eeadb417"
"PdfSharp-gdi.dll","dll","same","true","true","585728","585728","523783decf728f01286f7c28f8f523db616151fd33e19ea735dd4a5faa3c390e","523783decf728f01286f7c28f8f523db616151fd33e19ea735dd4a5faa3c390e"
"PdfSharp.Charting-gdi.dll","dll","same","true","true","94208","94208","58c5d280eaba2f43eda7125a8a03d277c1ef095e359c8de3fb6c8df1b84a6bfc","58c5d280eaba2f43eda7125a8a03d277c1ef095e359c8de3fb6c8df1b84a6bfc"
"README_RUN.txt","txt","missing_from_codex","false","true","","447","","05f41c26441677d681f01eb56be3c620d426554f5e574b7c8f1cca7aa2ac5033"
"RELEASE_CHECKLIST.txt","txt","missing_from_codex","false","true","","981","","0fa922e60888a83eae0e2a0545c7ed9044261da39f250ce46315fd6866241ec2"
"SQLitePCLRaw.batteries_v2.dll","dll","same","true","true","5632","5632","8bc87ece16a82e22cb9c95beddde08fc2a55465db0fe3809b2b1a25501ad75fd","8bc87ece16a82e22cb9c95beddde08fc2a55465db0fe3809b2b1a25501ad75fd"
"SQLitePCLRaw.core.dll","dll","same","true","true","51200","51200","626b7902809d6d4a7508d92c84cecfa447761f3e992e708fff97f0738e530615","626b7902809d6d4a7508d92c84cecfa447761f3e992e708fff97f0738e530615"
"SQLitePCLRaw.provider.e_sqlite3.dll","dll","same","true","true","40960","40960","e1b36fd993be757d608492bcb7983381e04af6022a1f327b71ffc153f10f338f","e1b36fd993be757d608492bcb7983381e04af6022a1f327b71ffc153f10f338f"
"SixLabors.Fonts.dll","dll","same","true","true","1142272","1142272","3d811d1c37a1f0e17f365f00603029eb53e240526537e2cd99fe4227aabf36aa","3d811d1c37a1f0e17f365f00603029eb53e240526537e2cd99fe4227aabf36aa"
"System.Buffers.dll","dll","same","true","true","23816","23816","2d78d770c9cb997199154ae8c018b9f1d1efbc86729f7264dde6dbad2a12cac3","2d78d770c9cb997199154ae8c018b9f1d1efbc86729f7264dde6dbad2a12cac3"
"System.Drawing.Common.dll","dll","same","true","true","50472","50472","82536a746c4ac8b2372e2e5c9e28b5a573a213f98e9400c4d959bab415fb6b77","82536a746c4ac8b2372e2e5c9e28b5a573a213f98e9400c4d959bab415fb6b77"
"System.IO.Packaging.dll","dll","same","true","true","46184","46184","85e04bf12239ed095ce5ff772e342d3b31ebd13faea036ed448be85b0aae5bff","85e04bf12239ed095ce5ff772e342d3b31ebd13faea036ed448be85b0aae5bff"
"System.Memory.dll","dll","same","true","true","145200","145200","d5e8e4866f9cfa66f7765660f84b210198893e55335487afe5ebda342c0e913d","d5e8e4866f9cfa66f7765660f84b210198893e55335487afe5ebda342c0e913d"
"System.Numerics.Vectors.dll","dll","same","true","true","110344","110344","20c2fa81b8c70d651099d762954f285fd4f942e63b2d7217c145dab8d4b2f4c9","20c2fa81b8c70d651099d762954f285fd4f942e63b2d7217c145dab8d4b2f4c9"
"System.Runtime.CompilerServices.Unsafe.dll","dll","same","true","true","19256","19256","08cbd7278b66f1e68425a82d4b97181a4130d93e3dd91831407aba7212ccdacf","08cbd7278b66f1e68425a82d4b97181a4130d93e3dd91831407aba7212ccdacf"
"System.Text.Encoding.CodePages.dll","dll","same","true","true","766224","766224","b77ee852824a6e8098fbade000beb42ce9df32fa4189a00d5e7f472f6c6a5030","b77ee852824a6e8098fbade000beb42ce9df32fa4189a00d5e7f472f6c6a5030"
"System.Threading.Tasks.Extensions.dll","dll","same","true","true","25984","25984","4f81ffd0dc7204db75afc35ea4291769b07c440592f28894260eea76626a23c6","4f81ffd0dc7204db75afc35ea4291769b07c440592f28894260eea76626a23c6"
"System.ValueTuple.dll","dll","same","true","true","25232","25232","e905d102585b22c6df04f219af5cbdbfa7bc165979e9788b62df6dcc165e10f4","e905d102585b22c6df04f219af5cbdbfa7bc165979e9788b62df6dcc165e10f4"
"VERSION.txt","txt","missing_from_codex","false","true","","118","","9abcdc64f861bf0afa2e4f45599b61c281d484a59b1c8b82ed36cacb5c8e021f"
"Win7POS.Core.dll","dll","different_hash","true","true","94720","94720","8762ff45daf2e3d570b7c642b3c98b3a3e5ae418d5ba4a52deae7450f3eafce7","1e6da545581b56bb4030f42edce61355f9c992ab8a6be36485c9e0e6f5f28f02"
"Win7POS.Core.pdb","pdb","different_hash","true","true","41824","41748","3522908405c7350ddb4fae4bf0d72e50b873bef0697ba0839ec97c6682c07d2c","c4d53a58a6d687d7cb9380943f85dea7f9d42decb0ccde1cfb345d9819d2a790"
"Win7POS.Data.dll","dll","different_hash","true","true","256000","257536","b501f65f176f22d4e5e53f28410896c9bd802d4b22190a8b6b91038bab2fdc59","b2cd6577085b50eec38ed585fb01f858ab20fec0bebe31b20dc2e73e42016efa"
"Win7POS.Data.pdb","pdb","different_hash","true","true","46328","46420","f04440dba1d43a02c31c86ac856390daf4f383496c49d2ff834bcfc5077e61ef","a0a46b70e6daec65aa569455732ca173bc132af510404ad524426d4b1fe54c19"
"Win7POS.Wpf.exe","exe","different_hash","true","true","856064","856064","960de0b63ca4231d887ed3036894ff538d7f1703a4bbb74a0bdc9583d3f26802","fa2d86b21d535b492f176bc6fc570a7861ebf7c431c2cade5ef6f30b5e75b3fc"
"Win7POS.Wpf.exe.config","config","different_hash","true","true","1835","1872","b2130e64d2e79cd9abb862e6bd45a1099f23adf23c4027f453a3dbf23e4c08a1","a0ee7ea8fcd15344b13da424a9095f10d4d6446d6746af4f63c06decd801d8dc"
"Win7POS.Wpf.pdb","pdb","different_hash","true","true","299656","300072","aa1debecb7f66d41d5e18fa22ecd50bf9dd43f27d5e5a43498b11a7a1dd5cd70","cbb65f739e97eac4d31e0598bede656e7375997fb236b4024725ab2b1399775c"
"XLParser.dll","dll","same","true","true","54272","54272","e154e3e5eb2193f55f65f13f6d7061fbb1b33e02ff90e7905694991538aea9a7","e154e3e5eb2193f55f65f13f6d7061fbb1b33e02ff90e7905694991538aea9a7"
"ZXing.Windows.Compatibility.dll","dll","same","true","true","19456","19456","dbb103d00654c980e436489d7949f54a1033164e74476e78dd41ff4f58184e9d","dbb103d00654c980e436489d7949f54a1033164e74476e78dd41ff4f58184e9d"
"cli/ClosedXML.dll","dll","missing_from_codex","false","true","","1437696","","f3d9397c8633021c9994659e20990a22ab1f8485884169d2f70173627b097beb"
"cli/Dapper.dll","dll","missing_from_codex","false","true","","245760","","784d15ba9fc95cdf049c927416486b15eb4ffca707195ef1ab32413b7f22f97c"
"cli/DocumentFormat.OpenXml.dll","dll","missing_from_codex","false","true","","6025128","","588d07bdc0dd828c7db07d04af42c47d48b092d92cecbb7ff6e63f9741b48974"
"cli/ExcelDataReader.DataSet.dll","dll","missing_from_codex","false","true","","11776","","06542641047edeaccc4d128b7f0764812f8542b7fc5dda130ccaf63defd7e2a0"
"cli/ExcelDataReader.dll","dll","missing_from_codex","false","true","","197632","","ad3047be1090638e61487f8a8291a1940d77bd99b104084e80d2a2ea4816d86c"
